Código;Descripción;Padre;;;;;;;;;;;;;;;;;;;;;;;
2641;Autores y otros escritores;264;;;;;;;;;;;;;;;;;;;;;;;
2642;Periodistas;264;;;;;;;;;;;;;;;;;;;;;;;
2643;Traductores, intérpretes y otros lingüistas;264;;;;;;;;;;;;;;;;;;;;;;;
265;Artistas creativos e interpretativos;26;;;;;;;;;;;;;;;;;;;;;;;
2651;Escultores, pintores artísticos y afines;265;;;;;;;;;;;;;;;;;;;;;;;
2652;Compositores, músicos y cantantes;265;;;;;;;;;;;;;;;;;;;;;;;
2653;Coreógrafos y bailarines;265;;;;;;;;;;;;;;;;;;;;;;;
2654;Directores y productores de cine, de teatro y afines;265;;;;;;;;;;;;;;;;;;;;;;;
2655;Actores;265;;;;;;;;;;;;;;;;;;;;;;;
2656;Locutores de radio, televisión y otros medios de comunicación;265;;;;;;;;;;;;;;;;;;;;;;;
2659;Artistas creativos e interpretativos no clasificados en otros grupos primarios;265;;;;;;;;;;;;;;;;;;;;;;;
3;TÉCNICOS Y PROFESIONALES DE NIVEL MEDIO;;;;;;;;;;;;;;;;;;;;;;;;
31;TECNICOS Y PROFESIONALES DEL NIVEL MEDIO DE LAS CIENCIAS Y LA INGENIERIA;3;;;;;;;;;;;;;;;;;;;;;;;
311;Técnicos en ciencias físicas y en ingeniería;31;;;;;;;;;;;;;;;;;;;;;;;
3111;Técnicos en ciencias físicas y químicas;311;;;;;;;;;;;;;;;;;;;;;;;
3112;Técnicos en ingeniería civil;311;;;;;;;;;;;;;;;;;;;;;;;
3113;Electrotécnicos;311;;;;;;;;;;;;;;;;;;;;;;;
3114;Técnicos en electrónica;311;;;;;;;;;;;;;;;;;;;;;;;
3115;Técnicos en ingeniería mecánica;311;;;;;;;;;;;;;;;;;;;;;;;
3116;Técnicos en química industrial;311;;;;;;;;;;;;;;;;;;;;;;;
3117;Técnicos de minas y metalurgia;311;;;;;;;;;;;;;;;;;;;;;;;
3118;Delineantes y dibujantes técnicos;311;;;;;;;;;;;;;;;;;;;;;;;
3119;Técnicos en ciencias físicas y en ingeniería no clasificados en otros grupos primarios;311;;;;;;;;;;;;;;;;;;;;;;;
312;Supervisores en la minería, la industria manufacturera y la construcción;31;;;;;;;;;;;;;;;;;;;;;;;
3121;Supervisores de minas;312;;;;;;;;;;;;;;;;;;;;;;;
3122;Supervisores de industrias manufactureras;312;;;;;;;;;;;;;;;;;;;;;;;
3123;Supervisores de la construcción;312;;;;;;;;;;;;;;;;;;;;;;;
313;Técnicos en control de procesos;31;;;;;;;;;;;;;;;;;;;;;;;
3131;Operadores de plantas de producción de energía;313;;;;;;;;;;;;;;;;;;;;;;;
3132;Operadores de incineradores, instalaciones de tratamiento de agua y afines;313;;;;;;;;;;;;;;;;;;;;;;;
3133;Controladores de instalaciones de procesamiento de productos químicos;313;;;;;;;;;;;;;;;;;;;;;;;
3134;Operadores de instalaciones de refinación de petróleo y gas natural;313;;;;;;;;;;;;;;;;;;;;;;;
3135;Controladores de procesos de producción de metales;313;;;;;;;;;;;;;;;;;;;;;;;
3139;Técnicos en control de procesos no clasificados en otros grupos primarios;313;;;;;;;;;;;;;;;;;;;;;;;
314;Técnicos y profesionales de nivel medio en ciencias biológicas y afines;31;;;;;;;;;;;;;;;;;;;;;;;
3141;Técnicos en ciencias biológicas (excluyendo la medicina);314;;;;;;;;;;;;;;;;;;;;;;;
3142;Técnicos agropecuarios;314;;;;;;;;;;;;;;;;;;;;;;;
3143;Técnicos forestales;314;;;;;;;;;;;;;;;;;;;;;;;
315;Técnicos y controladores en navegación marítima y aeronáutica;31;;;;;;;;;;;;;;;;;;;;;;;
3151;Oficiales maquinistas en navegación;315;;;;;;;;;;;;;;;;;;;;;;;
3152;Capitanes, oficiales de cubierta y prácticos;315;;;;;;;;;;;;;;;;;;;;;;;
3153;Pilotos de aviación y afines;315;;;;;;;;;;;;;;;;;;;;;;;
3154;Controladores de tráfico aéreo y marítimo;315;;;;;;;;;;;;;;;;;;;;;;;
3155;Técnicos en seguridad aeronáutica;315;;;;;;;;;;;;;;;;;;;;;;;
32;TÉCNICOS YPROFESIONALES DEL NIVEL MEDIO DE LA SALUD;3;;;;;;;;;;;;;;;;;;;;;;;
321;Técnicos médicos y farmacéuticos;32;;;;;;;;;;;;;;;;;;;;;;;
3211;Técnicos en aparatos de diagnóstico y tratamiento médico;321;;;;;;;;;;;;;;;;;;;;;;;
3212;Técnicos de laboratorios médicos;321;;;;;;;;;;;;;;;;;;;;;;;
3213;Técnicos y asistentes farmacéuticos;321;;;;;;;;;;;;;;;;;;;;;;;
3214;Técnicos de prótesis médicas y dentales;321;;;;;;;;;;;;;;;;;;;;;;;
322;Técnicos y profesionales del nivel medio en enfermería y partería;32;;;;;;;;;;;;;;;;;;;;;;;
3221;Técnicos y profesionales del nivel medio en enfermería;322;;;;;;;;;;;;;;;;;;;;;;;
3222;Técnicos y profesionales del nivel medio en partería;322;;;;;;;;;;;;;;;;;;;;;;;
323;Técnicos y profesionales del nivel medio en medicina tradicional y alternativa ;32;;;;;;;;;;;;;;;;;;;;;;;
3230;Técnicos y profesionales del nivel medio en medicina tradicional y alternativa;323;;;;;;;;;;;;;;;;;;;;;;;
324;Técnicos y asistentes veterinarios;32;;;;;;;;;;;;;;;;;;;;;;;
3240;Técnicos y asistentes veterinarios;324;;;;;;;;;;;;;;;;;;;;;;;
325;Otros tecnicos y profesionales del nivel medio de la salud;32;;;;;;;;;;;;;;;;;;;;;;;
3251;Higienistas y asistentes odontologícos;325;;;;;;;;;;;;;;;;;;;;;;;
3252;Técnicos en documentación sanitaria;325;;;;;;;;;;;;;;;;;;;;;;;
3253;Trabajadores comunitarios de la salud;325;;;;;;;;;;;;;;;;;;;;;;;
3254;Técnicos en optometría y ópticas;325;;;;;;;;;;;;;;;;;;;;;;;
3255;Técnicos y asistentes terapeutas;325;;;;;;;;;;;;;;;;;;;;;;;
3256;Asistentes médicos;325;;;;;;;;;;;;;;;;;;;;;;;
3257;Inspectores de seguridad, salud ocupacional, medioambiental y afines;325;;;;;;;;;;;;;;;;;;;;;;;
3258;Técnicos en atención prehospitalaria;325;;;;;;;;;;;;;;;;;;;;;;;
3259;Otros técnicos y profesionales del nivel medio de la salud no clasificados en otros grupos primarios;325;;;;;;;;;;;;;;;;;;;;;;;
33;"TECNICOS Y PROFESIONALES DEL NIVEL MEDIO
EN LAS FINANZAS Y LA ADMINISTRACION";3;;;;;;;;;;;;;;;;;;;;;;;
331;Técnicos y profesionales del nivel medio en finanzas y matemáticas;33;;;;;;;;;;;;;;;;;;;;;;;
3311;Agentes de bolsa, cambio y otros servicios financieros;331;;;;;;;;;;;;;;;;;;;;;;;
3312;Analistas de préstamos y créditos;331;;;;;;;;;;;;;;;;;;;;;;;
3313;Técnicos de contabilidad y afines;331;;;;;;;;;;;;;;;;;;;;;;;
3314;Técnicos y profesionales del nivel medio de servicios estadísticos, matemáticos y afines;331;;;;;;;;;;;;;;;;;;;;;;;
3315;Tasadores y evaluadores;331;;;;;;;;;;;;;;;;;;;;;;;
332;Agentes comerciales y corredores;33;;;;;;;;;;;;;;;;;;;;;;;
3321;Agentes de seguros;332;;;;;;;;;;;;;;;;;;;;;;;
3322;Representantes comerciales;332;;;;;;;;;;;;;;;;;;;;;;;
3323;Agentes de compras;332;;;;;;;;;;;;;;;;;;;;;;;
3324;Agentes de operaciones comerciales y consignatarios;332;;;;;;;;;;;;;;;;;;;;;;;
333;Agentes de servicios empresariales;33;;;;;;;;;;;;;;;;;;;;;;;
3331;Declarantes o gestores de aduana;333;;;;;;;;;;;;;;;;;;;;;;;
3332;Organizadores de conferencias y eventos;333;;;;;;;;;;;;;;;;;;;;;;;
3333;Agentes de empleo y contratistas de mano de obra;333;;;;;;;;;;;;;;;;;;;;;;;
3334;Agentes inmobiliarios;333;;;;;;;;;;;;;;;;;;;;;;;
3339;Agentes de servicios comerciales no clasificados en otros grupos primarios;333;;;;;;;;;;;;;;;;;;;;;;;
334;Secretarios administrativos y especializados;33;;;;;;;;;;;;;;;;;;;;;;;
3341;Supervisores de oficina;334;;;;;;;;;;;;;;;;;;;;;;;
3342;Secretarios jurídicos;334;;;;;;;;;;;;;;;;;;;;;;;
3343;Secretarios administrativos y ejecutivos;334;;;;;;;;;;;;;;;;;;;;;;;
3344;Secretarios médicos;334;;;;;;;;;;;;;;;;;;;;;;;
335;Agentes de gobierno y profesionales del nivel medio para la aplicación de regulaciones;33;;;;;;;;;;;;;;;;;;;;;;;
3351;Agentes de aduanas e inspectores de fronteras;335;;;;;;;;;;;;;;;;;;;;;;;
3352;Agentes de administración tributaria;335;;;;;;;;;;;;;;;;;;;;;;;
3353;Agentes de servicios de seguridad social;335;;;;;;;;;;;;;;;;;;;;;;;
3354;Agentes gubernamentales de expedición de licencias;335;;;;;;;;;;;;;;;;;;;;;;;
3355;Inspectores de policía y detectives;335;;;;;;;;;;;;;;;;;;;;;;;
3359;Agentes de gobierno y profesionales del nivel medio para la aplicación de regulaciones no clasificados en otros grupos primarios;335;;;;;;;;;;;;;;;;;;;;;;;
34;TECNICOS Y PROFESIONALES DEL NIVEL MEDIO DE SERVICIOS JURIDICOS, SOCIALES, CULTURALES Y AFINES;3;;;;;;;;;;;;;;;;;;;;;;;
341;Técnicos y profesionales del nivel medio de servicios jurídicos, sociales y religiosos;34;;;;;;;;;;;;;;;;;;;;;;;
3411;Técnicos y profesionales del nivel medio del derecho, de servicios legales y afines;341;;;;;;;;;;;;;;;;;;;;;;;
3412;Trabajadores y asistentes sociales;341;;;;;;;;;;;;;;;;;;;;;;;
